流水,类型,信息ID,名称,备注,类型,图标资源,标题1,描述1,标题2,描述2,标题3,描述3,标题4,描述4,标题5,描述5
,,3105035,源码楼梯,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,源码楼梯,掉落,
,,3105036,旱地,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,旱地,掉落,
,,3105045,篝火（灭）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,篝火（灭）,掉落,
,,3105046,烹饪锅（灭）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,烹饪锅（灭）,掉落,
,,3105047,火炉（灭）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,火炉（灭）,掉落,
,,3106001,水壶,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,水壶,掉落,
,,3106007,草垛,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,草垛,掉落,
,,3106011,木桶,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,木桶,掉落,
,,3106012,原木靠背凳,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,原木靠背凳,掉落,
,,3106013,枫木靠背凳,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,枫木靠背凳,掉落,
,,3106014,橡木靠背凳,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,橡木靠背凳,掉落,
,,3106015,原木太师椅,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,原木太师椅,掉落,
,,3106016,枫木太师椅,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,枫木太师椅,掉落,
,,3106017,橡木太师椅,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,橡木太师椅,掉落,
,,3106018,原木宝座,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,原木宝座,掉落,
,,3106019,枫木宝座,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,枫木宝座,掉落,
,,3106020,橡木宝座,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,橡木宝座,掉落,
,,3106024,破碎木箱1号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106025,破碎木箱2号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106026,破碎木箱3号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106027,合金箱1号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106028,合金箱2号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106029,合金箱3号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106030,源码宝箱1号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106031,源码宝箱2号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106032,源码宝箱3号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3110001,胡萝卜,自己种植的胡萝卜,植物,icon_plant,科：,芹亚科,属：,胡萝卜属,种：,胡萝卜,说明,原型为胡萝卜，胡萝卜素有“小人参”之称，根作为蔬菜食用。并含多种维生素A、B、C及胡萝卜素。,掉落,胡萝卜、胡萝卜块茎
,,3110002,水稻,自己种植的水稻,植物,icon_plant,科：,稻亚科,属：,稻属,种：,水稻,说明,原型为水稻，是世界上三分之一人类的主食，栽培历史可追溯到约公元前12000～16000年前的中国湖南。,掉落,水稻、水稻种子
,,3110003,土豆,自己种植的土豆,植物,icon_plant,科：,茄科,属：,龙葵亚属,种：,马铃薯,说明,原型为马铃薯，别称洋芋，土豆等；马铃薯块茎含有大量的淀粉，能提供大量能量，可以用来主治胃痛、痄肋、痈肿、湿疹、烫伤，是和胃健中药和解毒消肿药。,掉落,土豆、土豆块茎
,,3110004,西瓜,自己种植的西瓜,植物,icon_plant,科：,葫芦科,属：,西瓜属02,种：,西瓜,说明,原型为西瓜，生食能解渴生津，解暑热烦躁。有「天生白虎汤」之称，中国民间谚语云：夏日吃西瓜，药物不用抓。不过吃太多也伤脾胃哦。,掉落,西瓜、西瓜种子
,,3110005,小麦,自己种植的小麦,植物,icon_plant,科：,小麦科,属：,小麦属,种：,小麦,说明,原型为小麦，小麦是新石器时代的人类对其野生祖先进行驯化的产物，栽培历史已有1万年以上。小麦的颖果是人类的主食之一。,掉落,小麦、小麦种子
,,3110006,芦苇,自己种植的芦苇,植物,icon_plant,科：,禾本科,属：,芦苇属,种：,芦苇,说明,原型为芦苇，由于芦苇根具有清热解渴，治疗上吐下泻。所以吃了可以加饥渴度和解毒。,掉落,芦苇、芦苇种子
,,3110007,空心,自己种植的空心,植物,icon_plant,科：,苋科,属：,莲子草属,种：,空心,说明,原型为空心莲子草，原产巴西，生在池沼、水沟内。全草入药，有清热利水、凉血解毒作用; 可作饲料。,掉落,纤维、空心花瓣、空心种子。
,,3110008,狼毫草,自己种植的狼毫草,植物,icon_plant,科：,黍亚科,属：,狗尾草属,种：,狼毫草,说明,原型为狗尾草，其秆、叶可作饲料，也可入药，治痈瘀、面癣；全草加水煮沸20分钟后，滤出液可喷杀菜虫；小穗可提炼糠醛。,掉落,纤维、狼毫草花瓣、狼毫草种子。
,,3110009,龙爪草,自己种植的龙爪草,植物,icon_plant,科：,画眉草亚科,属：,_(cǎn)属,种：,龙爪草,说明,原型为牛筋草，全草药用。性味：甘、淡，平。祛风利湿，清热解毒，散瘀止血。 ,掉落,纤维、龙爪草叶
,,3110010,黄芯,自己种植的黄芯,植物,icon_plant,科：,菊科,属：,狗娃花属,种：,黄芯,说明,原型为狗娃花，狗娃花生长于海拔2400米的荒地、路旁、林缘及草地。狗娃花根入药，能解毒消肿，治疮肿、蛇咬。,掉落,纤维、黄芯花瓣、黄芯种子。
,,3110011,小雪球,自己种植的小雪球,植物,icon_plant,科：,菊科,属：,蒲公英属,种：,小雪球,说明,原型为蒲公英，广泛生于中、低海拔地区的山坡草地、路边、田野、河滩。可吃可入药，花语是“无法停留的爱”。,掉落,纤维、小雪球花瓣、小雪球种子。
,,3110012,银剑菊,自己种植的银剑菊,植物,icon_plant,科：,不明,属：,不明,种：,银剑菊,说明,生长在夏威夷茂宜岛上的哈雷卡拉火山国家公园上的世界珍稀植物夏威夷银剑菊。一生只开一次花。被称为大自然最奇特的花。,掉落,银剑菊叶片
,,3110013,红桃皇后,自己种植的红桃皇后,植物,icon_plant,科：,蔷薇亚科,属：,蔷薇亚属,种：,红桃皇后,说明,原型为玫瑰花，玫瑰原产于中国，栽培历史悠久。是重要的香料植物。玫瑰在中国古代文学里象征刺客。,掉落,纤维、红桃皇后叶
,,3110014,德馨花,自己种植的德馨花,植物,icon_plant,科：,石竹科,属：,石竹属,种：,德馨花,说明,原型为康乃馨，康乃馨原名其实是香石竹。花语大部分情况下是爱，魅力和尊敬之情。,掉落,纤维、德馨花花瓣、德馨花种子。
,,3110015,星辰花,自己种植的星辰花,植物,icon_plant,科：,紫草科,属：,勿忘草属,种：,星辰花,说明,原型为勿忘我，多年生草本，适应力强，花语是永恒的爱，浓情厚谊，永不变的心，永远的回忆。,掉落,纤维、星辰花花瓣、星辰花种子。
,,3110016,思索花,自己种植的思索花,植物,icon_plant,科：,石蒜科,属：,水仙属,种：,思索花,说明,原型为水仙花，又名中国水仙，是多花水仙的一个变种。在中国已有一千多年栽培历史，为传统观赏花卉，是中国十大名花。,掉落,纤维、思索花花瓣、思索花种子
,,3110017,魔鬼花,自己种植的魔鬼花,植物,icon_plant,科：,豆科,属：,澳洲沙漠豆,种：,魔鬼花,说明,"原型为澳洲沙漠豆花，又名“斯特尔特沙漠豌豆"" (Sturt's Desert Pea)。原产于澳洲的干旱地区，是澳大利亚最知名的野花之一。花朵奇特，观赏价值高。",掉落,纤维、魔鬼花叶
,,3110018,紫色天国,自己种植的紫色天国,植物,icon_plant,科：,杜鹃花科,属：,欧石楠属,种：,紫色天国,说明,原型为欧石楠，挪威的国花-帚石楠，俗名苏格兰石楠，有一个美丽的译名――艾莉卡。花语是孤独、背叛。,掉落,纤维、紫色天国花瓣、紫色天国种子。
,,3110019,小苗,植物刚长出来时的小苗,植物,icon_plant,科：,多种,属：,多种,种：,多种,说明,植物幼年时的小苗,掉落,纤维
,,3110020,树苗,树木的树苗,植物,icon_plant,科：,多种,属：,多种,种：,多种,说明,树木幼年时的树苗,掉落,树枝
,,5000001,果篮,果篮,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个果篮,掉落,
,,5000002,空果篮,空果篮,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个空果篮,掉落,
93,1,1000001,平原野猪,平原野猪,生物,icon_animal,科：,猪亚科,属：,猪属,种：,平原野猪,说明,原型是野猪，野猪首先在中国被驯化，中国养猪的历史可以追溯到新石器时代早、中期。,掉落,兽皮、兽肉
94,1,1000002,源码守卫,源码守卫,机械,icon_animal,派系：,源码机械,智慧：,高,行为:,稳重,说明,源码大战后留下来的源码机械，是源码机械中的主要守卫力量。,掉落,机械轴承、机械框架、动力模组、对应核心
95,1,1000003,源码机器人,源码机器人,机械,icon_animal,派系：,源码机械,智慧：,高,行为:,胆小,说明,源码大战后留下来的源码机械，可以执行多种任务，但是都不强力。,掉落,机械轴承、机械框架、动力模组、对应核心
96,1,1000004,源码侦察机,源码侦察机,机械,icon_animal,派系：,源码机械,智慧：,高,行为:,灵活,说明,源码大战后留下来的源码机械，是主要的侦察设备。,掉落,机械轴承、机械框架、动力模组、对应核心
97,1,1000005,沙地干尸,沙地干尸,元素生物,icon_animal,派系：,自然,智慧：,中,行为:,迟钝,说明,五大源码神设定的世界中，环境沙漠化后会出的怪物。,掉落,纤维、金矿石、源码晶石
98,1,1000006,石头怪,石头怪,元素生物,icon_animal,派系：,自然,智慧：,中,行为:,迟钝,说明,五大源码神创造的元素守卫之一，石地的守护者。,掉落,石头、源码晶石、玄武岩等
99,1,1000007,树妖,树妖,元素生物,icon_animal,派系：,自然,智慧：,中,行为:,迟钝,说明,五大源码神创造的元素守卫之一，森林的守护者。,掉落,原木、源码晶石
100,1,1000008,源码采矿机,源码采矿机,机械,icon_animal,派系：,源码机械,智慧：,高,行为:,呆萌,说明,源码大战后留下来的源码机械，具有强大的采矿能力。,掉落,机械轴承、机械框架、动力模组、对应核心
101,1,1000009,源码伐木机,源码伐木机,机械,icon_animal,派系：,源码机械,智慧：,高,行为:,凶狠,说明,源码大战后留下来的源码机械，可以执行多种任务，但是都不强力。,掉落,机械轴承、机械框架、动力模组、对应核心
102,1,1000010,源码机械犬,源码机械犬,机械,icon_animal,派系：,源码机械,智慧：,低,行为:,警惕,说明,源码大战后留下来的源码机械，可以执行多种任务，但是都不强力。,掉落,机械轴承、机械框架、动力模组、对应核心
103,1,1000011,沙漠骆驼,沙漠骆驼,生物,icon_animal,科：,骆驼科,属：,骆驼属,种：,沙漠骆驼,说明,原型为骆驼，骆驼可以在没有水的条件下生存三周，没有食物可生存一个月之久。骆驼由于胃内附生有水俘，作储水用，故能耐渴。,掉落,兽皮、兽肉、兽皮水囊满、沙漠骆驼鬃毛
104,1,1000012,白毛狼,白毛狼,生物,icon_animal,科：,犬科,属：,犬属,种：,白毛狼,说明,原型是北极狼，又称白狼，是犬科的哺乳动物，也是灰狼的亚种，是世界上最大的野生犬科家族成员。,掉落,兽皮、兽肉、白毛狼尾巴
105,1,1000013,咕咕鸡,咕咕鸡,生物,icon_animal,科：,雉科,属：,原鸡属,种：,咕咕鸡,说明,原型为鸡，我国是世界上最早驯养鸡的国家，至少有四千多年的历史。,掉落,禽肉、咕咕鸡羽毛
106,1,1000014,泥牛,泥牛,生物,icon_animal,科：,牛亚科,属：,牛亚属,种：,泥牛,说明,原型为牛，牛的适应性很强，能够较好地适应所在地气候，牛吃饱后会停止进食，但还会不住的反刍，牛最喜欢吃青草。,掉落,兽肉，兽皮、泥牛的角
107,1,1000015,湖鸭,湖鸭,生物,icon_animal,科：,鸭科,属：,鸭属,种：,湖鸭,说明,原型为褐鸭，有名奥克兰鸭，多数栖息于沿海沼泽，池塘和沼泽低地森林。不善自由飞翔，主要在靠近水源的草地觅食。,掉落,禽肉、湖鸭翎羽
108,1,1000016,山地羊,山地羊,生物,icon_animal,科：,牛科（羊亚科）,属：,山羊属,种：,山地羊,说明,原型为陕北山地羊，陕北山地羊被誉为“肉中之人参”，陕北的羊肉性热，具有益气补虚的功能，其味道也“十里飘香”。,掉落,羊毛、兽肉、山地羊毛
109,1,1000017,烈火马,烈火马,生物,icon_animal,科：,马科,属：,马属,种：,烈火马,说明,原型为马，在4000年前被人类驯服。烈火马是源码大战后数据结构改变的产物。,掉落,兽皮、兽肉、烈火马鬃毛
110,1,1000018,沙滩蟹,沙滩蟹,生物,icon_animal,科：,蟹科,属：,蟹属,种：,沙滩蟹,说明,蟹有很多种类，大部分蟹类可以食用。大部分吃得最多的都来源于大海或者淡水湖泊区域。,掉落,蟹肉、蟹黄、沙滩蟹钳
111,1,1000019,淤泥怪,淤泥怪,生物,icon_animal,派系：,自然,智慧：,低,行为:,懒惰,说明,五大源码神设定的世界中，会出现在沼泽中的怪物,掉落,土块、源码晶石、宝箱
112,1,1000020,冰原雪人,冰原雪人,生物,icon_animal,派系：,自然,智慧：,高,行为:,呆萌,说明,五大源码神创造的元素守卫之一，雪原的守护者。,掉落,雪块、源码晶石
113,1,1000021,熔岩火人,熔岩火人,生物,icon_animal,派系：,自然,智慧：,高,行为:,冲动,说明,五大源码神创造的元素守卫之一，火山的守护者。,掉落,玄武岩、源码晶石
114,1,1000022,冰地巨怪,冰地巨怪,生物,icon_animal,派系：,异变,智慧：,中,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
115,1,1000023,冰魂,冰魂,生物,icon_animal,派系：,异变,智慧：,高,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
116,1,1000024,黑魂王,黑魂王,生物,icon_animal,派系：,异变,智慧：,高,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
117,1,1000025,黑魂,黑魂,生物,icon_animal,派系：,异变,智慧：,高,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
118,1,1000026,熔岩巨怪,熔岩巨怪,生物,icon_animal,派系：,异变,智慧：,中,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
119,1,1000027,火魂,火魂,生物,icon_animal,派系：,异变,智慧：,高,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
120,1,1000028,森林女王,森林女王,生物,icon_animal,派系：,异变,智慧：,高,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
121,1,1000029,鬼魅树妖,鬼魅树妖,生物,icon_animal,派系：,异变,智慧：,高,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
122,1,1000030,石地巨怪,石地巨怪,生物,icon_animal,派系：,异变,智慧：,中,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
123,1,1000031,源码巨怪,源码巨怪,生物,icon_animal,派系：,源码机械,智慧：,中,行为:,无情,说明,源码大战后，被遗留下来的巨型源码装置，似乎在不断汲取源码能量，是造成阿尔法公司数据传输飞船坠毁的主要祸首。,掉落,
124,1,1000032,达达鸡,达达鸡,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
125,1,1000033,达达鸭,达达鸭,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
126,1,1000034,达达猪,达达猪,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
127,1,1000035,达达狼,达达狼,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
128,1,1000036,达达牛,达达牛,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
129,1,1000037,达达骆驼,达达骆驼,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
130,1,1000038,达达羊,达达羊,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
131,1,1000039,达达火马,达达火马,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
132,1,1000040,达达蟹,达达蟹,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
133,1,1000041,达达树妖,达达树妖,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
134,1,1000042,达达淤泥怪,达达淤泥怪,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
135,1,1000043,达达干尸,达达干尸,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
136,1,1000044,达达火人,达达火人,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
137,1,1000045,达达石头怪,达达石头怪,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
138,1,1000046,达达雪人,达达雪人,生物,icon_animal,派系：,异变,智慧：,低,行为:,跳脱多变,说明,源码大战后，异变出现的一种奇特生物，自称达达，似乎可以不断转生成其他源码生物。,掉落,
139,1,1000047,诗词鸡,诗词鸡,生物,icon_animal,派系：,人类改造,智慧：,低,行为:,警惕,说明,阿尔法公司将源码部落中的物种改造后诞生的生物，但是它们似乎因为向往自由的生活逃离了掌控。,掉落,
140,1,1000048,代码鸭,代码鸭,生物,icon_animal,派系：,人类改造,智慧：,低,行为:,警惕,说明,阿尔法公司将源码部落中的物种改造后诞生的生物，但是它们似乎因为向往自由的生活逃离了阿尔法公司的掌控。,掉落,
141,1,1000049,食物猪,食物猪,生物,icon_animal,派系：,人类改造,智慧：,低,行为:,警惕,说明,阿尔法公司将源码部落中的物种改造后诞生的生物，但是它们似乎因为向往自由的生活逃离了阿尔法公司的掌控。,掉落,
142,1,1000050,宝藏猪,宝藏猪,生物,icon_animal,派系：,人类改造,智慧：,低,行为:,警惕,说明,阿尔法公司将源码部落中的物种改造后诞生的生物，但是它们似乎因为向往自由的生活逃离了阿尔法公司的掌控。,掉落,
143,1,1000051,公主猪,公主猪,生物,icon_animal,派系：,人类改造,智慧：,低,行为:,警惕,说明,阿尔法公司将源码部落中的物种改造后诞生的生物，但是它们似乎因为向往自由的生活逃离了阿尔法公司的掌控。,掉落,
144,1,1000052,英文狼,英文狼,生物,icon_animal,派系：,人类改造,智慧：,低,行为:,警惕,说明,阿尔法公司将源码部落中的物种改造后诞生的生物，但是它们似乎因为向往自由的生活逃离了阿尔法公司的掌控。,掉落,
145,1,1000053,数学羊,数学羊,生物,icon_animal,派系：,人类改造,智慧：,低,行为:,警惕,说明,阿尔法公司将源码部落中的物种改造后诞生的生物，但是它们似乎因为向往自由的生活逃离了阿尔法公司的掌控。,掉落,
146,1,1000054,异变石头怪,异变石头怪,生物,icon_animal,派系：,异变,智慧：,中,行为:,狂暴,说明,源码大战后，不明原因诞生的强大异变怪物。,掉落,
147,2,4105001,木制工作台,木制工作台,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,制作木制产品的重要设备。,掉落,
148,2,4105002,简易木箱,简易木箱,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,简易木箱，可以储存一定量的物品。,掉落,
149,2,4105003,雨水收集器,雨水收集器,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,用于收集雨水的雨水收集器，不用再到处找水了。,掉落,
150,2,4105004,公告板,公告板,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,能够展示一些信息的公告板。,掉落,
151,2,4105005,篝火（燃）,篝火（燃）,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,可以用于烤肉。,掉落,
152,2,4105006,烹饪锅（燃）,烹饪锅（燃）,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,可以烹饪各种食物。,掉落,
153,2,4105007,高级烹饪锅,高级烹饪锅,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,可以高级食材。,掉落,
